@RELATION svm_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bumps,door,steps,speech,spcDoor,background,scream}

@DATA
0.036175,0.009240,2.326411,0.072691,0.113225,0.079354,0.000930,0.043015,-22.705868,2.283004,-1.134932,0.013758,-0.508115,0.102761,0.145205,0.224556,0.206198,-0.058226,-0.218334,0.092980,0.272000,0.013976,0.010995,0.017534,0.019054,0.012498,0.006533,0.006736,0.003956,0.002815,0.002866,0.007341,0.008223,0.008324,0.003295,0.006665,0.275634,0.007549,0.014790,0.025779,0.000429,0.005043,1.373894,0.150542,0.111874,0.076211,0.132558,0.146703,0.138986,0.051690,0.139426,0.089326,0.093105,0.056771,0.064438,0.011950,0.004729,0.007067,0.006278,0.005119,0.003379,0.001615,0.001107,0.000780,0.000670,0.002224,0.003418,0.002256,bumps
0.035968,0.004665,2.898522,0.101842,0.138494,0.214137,0.000796,0.045933,-25.202745,2.183942,-0.485720,0.317720,0.154422,0.137963,0.060301,-0.025268,0.188748,0.038998,-0.129339,-0.091738,-0.224533,0.026163,0.011879,0.021683,0.035630,0.049327,0.011817,0.011937,0.005303,0.005211,0.005138,0.015365,0.013467,0.016884,0.004240,0.004403,0.161881,0.009212,0.011456,0.045785,0.000235,0.008186,1.010631,0.218465,0.083278,0.194552,0.118428,0.036505,0.081754,0.073481,0.094909,0.070943,0.086139,0.074423,0.057038,0.009836,0.005346,0.008723,0.010195,0.021600,0.003432,0.003712,0.002073,0.001013,0.002513,0.003190,0.003572,0.005220,bumps
0.030312,0.009629,2.516345,0.081455,0.133610,0.101251,0.000983,0.035875,-22.587015,2.444961,-0.619442,0.272518,0.089178,0.139317,0.167216,-0.034989,0.348615,-0.035349,-0.072912,0.126437,-0.039024,0.022084,0.006438,0.021379,0.027710,0.112611,0.009985,0.007051,0.002215,0.004543,0.003617,0.015943,0.031581,0.031425,0.002318,0.005932,0.168879,0.006560,0.013366,0.014393,0.000410,0.002903,0.699885,0.111324,0.041180,0.131854,0.052181,0.050508,0.103886,0.052827,0.097088,0.080363,0.061732,0.039135,0.074548,0.009156,0.001599,0.007669,0.008527,0.029306,0.002088,0.001361,0.000681,0.001730,0.001730,0.002991,0.006298,0.006559,bumps
0.037520,0.020037,2.736374,0.087592,0.130775,0.187093,0.000796,0.048507,-21.238253,2.375573,-0.987154,0.097334,-0.147798,0.201860,0.112073,-0.145227,0.363684,0.261013,0.025074,-0.045658,-0.132502,0.007409,0.002375,0.016526,0.026861,0.013798,0.009101,0.005490,0.002811,0.005255,0.005128,0.026059,0.012406,0.010461,0.009701,0.010507,0.133218,0.014075,0.020581,0.068168,0.000352,0.011302,0.933740,0.340253,0.129488,0.109792,0.119148,0.126264,0.148786,0.030930,0.095466,0.170967,0.133268,0.120440,0.102416,0.003439,0.001365,0.011376,0.012014,0.006804,0.004438,0.002260,0.001184,0.002345,0.003089,0.012210,0.003286,0.002650,bumps
0.038928,0.003538,2.682680,0.099870,0.144594,0.187701,0.001292,0.037390,-26.172156,2.562981,-0.498250,0.174842,0.074335,0.091756,0.025106,-0.004450,0.327815,0.104749,0.027585,0.286126,0.191309,0.017527,0.002407,0.020885,0.035659,0.064881,0.015526,0.012208,0.003597,0.013812,0.003128,0.021706,0.053005,0.025922,0.009768,0.002925,0.173273,0.015346,0.013901,0.103889,0.000816,0.014773,1.199815,0.330759,0.157943,0.180640,0.205128,0.172977,0.107903,0.121409,0.103276,0.103955,0.134868,0.082540,0.084878,0.015821,0.000940,0.012059,0.021254,0.021518,0.006625,0.003870,0.001205,0.010577,0.000991,0.013252,0.017141,0.006278,bumps
0.030150,0.008482,2.860203,0.082474,0.124680,0.111544,0.000743,0.035511,-23.968476,2.331169,-0.585251,0.289679,-0.061195,0.139078,0.099808,-0.006474,0.259601,0.139398,0.020628,0.168626,0.174643,0.043886,0.002297,0.021589,0.035447,0.098209,0.011423,0.007105,0.001777,0.006844,0.001621,0.007424,0.023661,0.029714,0.003321,0.007528,0.154298,0.005754,0.006122,0.022956,0.000170,0.004400,0.967463,0.220005,0.151252,0.076720,0.089708,0.066520,0.082819,0.072593,0.037870,0.027834,0.042747,0.032658,0.074763,0.013660,0.000461,0.007453,0.010530,0.025821,0.003852,0.001979,0.000403,0.001817,0.000692,0.001496,0.006281,0.005607,bumps
0.310240,0.004592,2.531015,0.325481,0.175786,2.244129,0.000139,0.505706,-25.192055,0.766080,-0.059148,0.141475,-0.074267,-0.195666,0.094333,0.083839,0.120249,0.223869,0.211839,0.199926,0.286478,0.001289,0.000330,0.001547,0.002874,0.005358,0.001440,0.003776,0.000673,0.002287,0.000857,0.003160,0.003140,0.001942,0.050974,0.002506,0.317785,0.006053,0.003372,0.118209,0.000087,0.018018,0.816372,0.148784,0.058350,0.014469,0.047668,0.068518,0.044473,0.090241,0.086622,0.044769,0.070489,0.049377,0.042284,0.000760,0.000096,0.000871,0.001379,0.004018,0.000643,0.001687,0.000310,0.000732,0.000386,0.001351,0.002810,0.001009,bumps
0.030878,0.019542,2.454006,0.054433,0.090257,0.016556,0.000433,0.052783,-20.851558,2.303608,-1.880550,0.941706,-0.351994,0.115189,-0.166420,0.044455,0.289108,0.071927,0.175020,0.132125,0.181563,0.009168,0.005087,0.005180,0.008821,0.011403,0.014576,0.013828,0.003041,0.006964,0.002773,0.013230,0.008965,0.005043,0.001711,0.004704,0.180321,0.005154,0.015244,0.003159,0.000138,0.002659,0.376307,0.145565,0.055465,0.056539,0.075066,0.038894,0.041097,0.045210,0.028904,0.026888,0.026018,0.028324,0.028751,0.001738,0.001159,0.002337,0.002288,0.004133,0.004403,0.003739,0.001457,0.002690,0.000643,0.003978,0.004528,0.000963,bumps
0.033982,0.019051,2.358771,0.053762,0.087179,0.015546,0.000312,0.054177,-20.841338,2.321257,-1.888080,0.949552,-0.396785,0.167689,-0.112746,-0.040829,0.288371,0.196781,0.177206,0.164393,0.206459,0.009426,0.005338,0.004265,0.008007,0.012615,0.019628,0.016590,0.002661,0.005742,0.003370,0.012090,0.010131,0.005643,0.000676,0.002801,0.063638,0.002825,0.008951,0.001132,0.000113,0.002033,0.260093,0.122852,0.036612,0.057075,0.058172,0.045181,0.023805,0.030717,0.012568,0.028307,0.014446,0.019268,0.010828,0.000894,0.001127,0.001270,0.001105,0.004156,0.002224,0.002164,0.000386,0.001744,0.000316,0.001840,0.003319,0.000672,bumps
0.033451,0.029346,2.219116,0.059824,0.114536,0.026839,0.000510,0.038270,-20.804457,3.068931,-1.545775,0.484265,0.074956,-0.138152,-0.067535,-0.246160,0.152161,0.349016,0.320937,0.178492,0.083812,0.009911,0.004139,0.009769,0.010554,0.017798,0.011766,0.032735,0.005852,0.019958,0.004426,0.017231,0.027701,0.009582,0.001580,0.004631,0.109620,0.008735,0.017604,0.006783,0.000266,0.002143,0.216831,0.123929,0.067962,0.152800,0.041789,0.074730,0.029684,0.010769,0.026051,0.041013,0.047398,0.049844,0.042885,0.004888,0.000820,0.003744,0.001783,0.005121,0.002092,0.007186,0.003234,0.003349,0.001656,0.004919,0.005720,0.001228,bumps
